"City","Code","Name","Country"
"City","Code","Name","Country"
"City name","Airport Code","Airport Name","Country name"
"108 Mile Ranch","ZMH","108 Mile Ranch","Canada"
,,,
,,,
"Aachen","AAH","Aachen/Merzbruck","Germany"
,,,
"Aachen","ZIU","Railway","Germany"
,,,
"Aalborg","AAL","Aalborg","Denmark"
,,,
"Aalesund","AES","Vigra","Norway"
,,,
"Aarhus","AAR","Tirstrup","Denmark"
,,,
"Aarhus Limo","ZBU","Aarhus Limo","Denmark"
,,,
"Aasiaat","JEG","Aasiaat","Greenland"
,,,
"Abadan","ABD","Abadan","Iran"
,,,
"Abaiang","ABF","Abaiang","Kiribati"
,,,
"Abakan","ABA","Abakan","Russian Federation"
,,,
"Abau","ABW","Abau","Papua New Guinea"
,,,
"Abbotsford","YXX","Abbotsford","Canada"
,,,
"Abbottabad","AAW","Mumbai","Pakistan"
,,,
"Abbse","EAB","Abbse","Yemen"
,,,
,,,
"Abecher","AEH","Abecher","Chad"
,,,
"Abemama Atoll","AEA","Abemama Atoll","Kiribati"
,,,
"Abengourou","OGO","Abengourou","Cote D'Ivoire (Ivory Coast)"
,,,
"Aberdeen","ABZ","Dyce","United Kingdom"
,,,
"Aberdeen","APG","Phillips AAF","United States"
,,,
"Aberdeen","ABR","Municipal","United States"
,,,
"Abha","AHB","Abha","Saudi Arabia"
,,,
"Abidjan","ABJ","Felix Houphouet Boigny","Cote D'Ivoire (Ivory Coast)"
,,,
"Abilene","DYS","Dyess AFB","United States"
,,,
"Abilene","ABI","Municipal","United States"
,,,
"Abingdon","ABB","RAF Station","United Kingdom"
,,,
"Abingdon","ABG","Abingdon","Australia"
,,,
"Abingdon","VJI","Virginia Highlands","United States"
,,,
"Aboisso","ABO","Aboisso","Cote D'Ivoire (Ivory Coast)"
,,,
"Abou Deia","AOD","Abou Deia","Chad"
,,,
"Abreojos","AJS","Abreojos","Mexico"
,,,
"City name","Airport Code",,"Country name"
,,,
"Abu Dhabi","AUH","Abu Dhabi Intl","United Arab Emirates"
,,,
"Abu Dhabi","DHF","Al Dhafra Military Apt","United Arab Emirates"
,,,
"Abu Dhabi","AZI","Bateen","United Arab Emirates"
,,,
"Abu Musa","AEU","Abu Musa","Iran"
,,,
"Abu Rudeis","AUE","Abu Rudeis","Egypt"
,,,
"Abu Simbel","ABS","Abu Simbel","Egypt"
,,,
"Abuja","ABV","International","Nigeria"
,,,
"Acandi","ACD","Acandi","Colombia"
,,,
"Acaricuara","ARF","Acaricuara","Colombia"
,,,
"Acarigua","AGV","Acarigua","Venezuela"
,,,
"Accra","ACC","Kotoka","Ghana"
,,,
"Achinsk","ACS","Achinsk","Russian Federation"
,,,
"Achutupo","ACU","Achutupo","Panama"
,,,
"Ada","ADT","Ada","United States"
,,,
"Adak Island","ADK","Adak Island NS","United States"
,,,
"Adana","ADA","Adana","Turkey"
,,,
"City name","Airport Code",,"Country name"
,,,
"Adana","UAB","Adana-Incirlik Airbase","Turkey"
,,,
"Ad-Dabbah","AAD","Ad-Dabbah","Sudan"
,,,
"Addis Ababa","ADD","Bole","Ethiopia"
,,,
"Adelaide","ADL","Adelaide","Australia"
,,,
"Adelaide","XHX","Adelaide Keswick Rail","Australia"
,,,
"Aden","ADE","International","Yemen"
,,,
"Adiyaman","ADF","Adiyaman","Turkey"
,,,
"Adler/Sochi","AER","Adler/Sochi","Russian Federation"
,,,
"Adrar","AZR","Adrar","Algeria"
,,,
"Adrian","ADG","Lenawee County","United States"
,,,
"Aek Godang","AEG","Aek Godang","Indonesia"
,,,
"Afore","AFR","Afore","Papua New Guinea"
,,,
"Afton","AFO","Municipal","United States"
,,,
"Afutara","AFT","Afutara Aerodrome","Solomon Islands"
,,,
"Afyon","AFY","Afyon","Turkey"
,,,
"Agades","AJY","Agades","Niger"
,,,
"City name","Airport Code",,"Country name"
,,,
"Agadir","AGA","Agadir Almassira","Morocco"
,,,
"Agartala","IXA","Singerbhil","India"
,,,
"Agatti Island","AGX","Agatti Island","India"
,,,
"Agaun","AUP","Agaun","Papua New Guinea"
,,,
"Agen","AGF","La Garenne","France"
,,,
"Aggeneys","AGZ","Aggeneys","South Africa"
,,,
"Aghajari","AKW","Aghajari","Iran"
,,,
"Agnew","AGW","Agnew","Australia"
,,,
"Agra","AGR","Kheria","India"
,,,
"Agri","AJI","A?ri","Turkey"
,,,
"Agrinion","AGQ","Agrinion","Greece"
,,,
"Aguaclara","ACL","Aguaclara","Colombia"
,,,
"Aguadilla","BQN","Borinquen","Puerto Rico"
,,,
"Aguascalientes","AGU","Aguascalients","Mexico"
,,,
"Aguni","AGJ","Aguni","Japan"
,,,
"Ahe","AHE","Ahe Airport","French Polynesia"
,,,
"City name","Airport Code",,"Country name"
,,,
"Ahmed Al Jaber","XIJ","Ahmed Al Jaber","Kuwait"
,,,
"Ahmedabad","AMD","Ahmedabad","India"
,,,
"Ahuas","AHS","Ahuas","Honduras"
,,,
"Ahwaz","AWZ","Ahwaz","Iran"
,,,
"Ai-Ais","AIW","Ai-Ais","Namibia"
,,,
"Aiambak","AIH","Aiambak","Papua New Guinea"
,,,
"Aiken","AIK","Municipal","United States"
,,,
"Ailigandi","AIL","Ailigandi","Panama"
,,,
"Ailinglapalap Island","AIP","Ailinglapalap Island","Marshall Islands"
,,,
"Ailuk Island","AIM","Ailuk Island","Marshall Islands"
,,,
"Ainsworth","ANW","Ainsworth","United States"
,,,
"Aiome","AIE","Aiome","Papua New Guinea"
,,,
"Aioun El Atrouss","AEO","Aioun El Atrouss","Mauritania"
,,,
"Airlie Beach","WSY","Whitsunday Airstrip","Australia"
,,,
"Airok","AIC","Airok","Marshall Islands"
,,,
"Aishalton","AHL","Aishalton","Guyana"
,,,
"City name","Airport Code",,"Country name"
,,,
"Aitape","ATP","Airstrip","Papua New Guinea"
,,,
"Aitape","TAJ","Tadji","Papua New Guinea"
,,,
"Aitutaki","AIT","Aitutaki","Cook Islands"
,,,
"Aix La Chapelle","XHJ","Railway Station","Germany"
,,,
"Aiyura","AYU","Aiyura","Papua New Guinea"
,,,
"Aizawl","AJL","Aizawl","India"
,,,
"Ajaccio","AJA","Campo Dell Oro","France"
,,,
"Akhiok","AKK","Akhiok SPB","United States"
,,,
"Akiachak","KKI","Spb","United States"
,,,
"Akiak","AKI","Akiak","United States"
,,,
"Akieni","AKE","Akieni","Gabon"
,,,
"Akita","AXT","Akita","Japan"
,,,
"Akjoujt","AJJ","Akjoujt","Mauritania"
,,,
"Aklavik","LAK","Aklavik","Canada"
,,,
"Akola","AKD","Akola","India"
,,,
"Akron","AKO","Washington Co","United States"
,,,
"City name","Airport Code",,"Country name"
,,,
"Akron/Canton","CAK","Akron/Canton Regional","United States"
,,,
"Akron/Canton","AKC","Fulton International","United States"
,,,
"Akrotiri","AKT","Akrotiri RAF","Cyprus"
,,,
"Aksu","AKU","Aksu","China"
,,,
"Aktau","SCO","Aktau","Kazakhstan"
,,,
"Aktyubinsk","AKX","Aktyubinsk","Kazakhstan"
,,,
"Akulivik","AKV","Akulivik","Canada"
,,,
